# t(yr) dt(yr)
5.4027733295729310e-02 2.9183386992329141e-05
5.4045138227812366e-02 1.7404932083055213e-05
5.4062543159895421e-02 1.7404932083055213e-05
5.4081221170659222e-02 1.8678010763800712e-05
5.4174611224478232e-02 9.3390053819010499e-05
5.4641561493573285e-02 4.6695026909505249e-04
5.4722709485462116e-02 8.1147991888831650e-05
5.4754922286975011e-02 3.2212801512894462e-05
5.4787135088487905e-02 3.2212801512894462e-05
5.4798927437613866e-02 1.1792349125960833e-05
5.4810719786739827e-02 1.1792349125960833e-05
5.4869681532369631e-02 5.8961745629804163e-05
5.5164490260518666e-02 2.9480872814903469e-04
5.5476450466494590e-02 3.1196020597592383e-04
5.5624112115064711e-02 1.4766164857012154e-04
5.5664647267593494e-02 4.0535152528782536e-05
5.5685045396832208e-02 2.0398129238714813e-05
5.5696821695926609e-02 1.1776299094400089e-05
5.5708597995021009e-02 1.1776299094400089e-05
5.5719308039201131e-02 1.0710044180121947e-05
5.5772858260101740e-02 5.3550220900609735e-05
5.6040609364604782e-02 2.6775110450304174e-04
5.6453323925075884e-02 4.1271456047110161e-04
5.6465310121582256e-02 1.1986196506372226e-05
5.6471963642604435e-02 6.6535210221790875e-06
5.6478617163626614e-02 6.6535210221790875e-06
5.6484480886019976e-02 5.8637223933621918e-06
5.6513799497986780e-02 2.9318611966804020e-05
5.6660392557820786e-02 1.4659305983400622e-04
5.6884365204340724e-02 2.2397264651993765e-04
5.7108337850860662e-02 2.2397264651993765e-04
5.7315260601627241e-02 2.0692275076657912e-04
5.7567430760538676e-02 2.5217015891143557e-04
5.7648283766863942e-02 8.0853006325265486e-05
5.7729136773189207e-02 8.0853006325265486e-05
5.7744998574251243e-02 1.5861801062035108e-05
5.7749409155885327e-02 4.4105816340844761e-06
5.7750993175961121e-02 1.5840200757941125e-06
5.7752577196036915e-02 1.5840200757941125e-06
5.7754247648797621e-02 1.6704527607061537e-06
5.7762599912601145e-02 8.3522638035238295e-06
5.7804361231618778e-02 4.1761319017633025e-05
5.7841696475768416e-02 3.7335244149637459e-05
5.7855020299413522e-02 1.3323823645106092e-05
5.7868344123058628e-02 1.3323823645106092e-05
5.7877291138982039e-02 8.9470159234106283e-06
5.7886238154905449e-02 8.9470159234106283e-06
5.7893412745023090e-02 7.1745901176409332e-06
5.7929285695611295e-02 3.5872950588204666e-05
5.8108650448552325e-02 1.7936475294103027e-04
5.9005474213257483e-02 8.9682376470515829e-04
5.9144285088387059e-02 1.3881087512957607e-04
5.9176023112451313e-02 3.1738024064253967e-05
5.9180891299520852e-02 4.8681870695385654e-06
5.9185759486590390e-02 4.8681870695385654e-06
5.9190103224205377e-02 4.3437376149868534e-06
5.9211821912280298e-02 2.1718688074920389e-05
5.9320415352654900e-02 1.0859344037460195e-04
5.9863382554527916e-02 5.4296720187301667e-04
6.0331960191124655e-02 4.6857763659673840e-04
6.0493998198337798e-02 1.6203800721314304e-04
6.0656036205550941e-02 1.6203800721314304e-04
6.0667828346477486e-02 1.1792140926544792e-05
6.0679620487404030e-02 1.1792140926544792e-05
6.0689773040353362e-02 1.0152552949331539e-05
6.0740535805100006e-02 5.0762764746643818e-05
6.0994349628833239e-02 2.5381382373323297e-04
6.1410742434595135e-02 4.1639280576189625e-04
6.1459441151973812e-02 4.8698717378677092e-05
6.1468530327818842e-02 9.0891758450298288e-06
6.1477619503663872e-02 9.0891758450298288e-06
6.1523065382889007e-02 4.5445879225135266e-05
6.1558937764052350e-02 3.5872381163343237e-05
6.1586259785184276e-02 2.7322021131925833e-05
6.1613581806316202e-02 2.7322021131925833e-05
6.1750191911975824e-02 1.3661010565962223e-04
6.1905978824490719e-02 1.5578691251489502e-04
6.2061765737005614e-02 1.5578691251489502e-04
6.2307765260404768e-02 2.4599952339915410e-04
6.2405170172352795e-02 9.7404911948026363e-05
6.2419044125345609e-02 1.3873952992814187e-05
6.2423916540688559e-02 4.8724153429505201e-06
6.2426905782536783e-02 2.9892418482238559e-06
6.2429895024385007e-02 2.9892418482238559e-06
6.2432748830727393e-02 2.8538063423858007e-06
6.2447017862439322e-02 1.4269031711929003e-05
6.2518363020998960e-02 7.1345158559638078e-05
6.2875088813797123e-02 3.5672579279816263e-04
6.2926260209163282e-02 5.1171395366159111e-05
6.2977431604529441e-02 5.1171395366159111e-05
6.3023602671758966e-02 4.6171067229525131e-05
6.3254458007906564e-02 2.3085533614759790e-04
6.4408734688644567e-02 1.1542766807380034e-03
6.4631319398683287e-02 2.2258471003872016e-04
6.4713581899609435e-02 8.2262500926147397e-05
6.4739814780593125e-02 2.6232880983689810e-05
6.4766047661576814e-02 2.6232880983689810e-05
6.4782159301538897e-02 1.6111639962082536e-05
6.4792207957957718e-02 1.0048656418820689e-05
6.4802256614376538e-02 1.0048656418820689e-05
6.4810496613061777e-02 8.2399986852388363e-06
6.4851696606487971e-02 4.1199993426194181e-05
