# 2004 Mw6.0 Parkfield earthquake coseismic slip model from
#
#   Bruhat L. S. Barbot and J.-P. Avouac, "Evidence for 
#   postseismic deformation of the lower crust following the 
#   2004 Mw6.0 Parkfield earthquake", J.G.R, 116(B08401), 2011
#
# Conventions and units:
#
# slip - amplitude of slip (m)
# x1   - positive north (km)
# x2   - positive east (km)
# x3   - positive down (km)
# l    - patch length in the strike direction (km)
# w    - patch width in the dip direction (km)
# str  - strike angle (degree)
# d    - dip angle (degree)
# rak  - slip rake (degree)
#
# Geometry:
#
#                 N (x1)
#                /
#               /| Strike
#   x1,x2,x3 ->@------------------------      (x2)
#              |\        p .            \ W
#              :-\      i .              \ i
#              |  \    l .                \ d
#              :90 \  S .                  \ t
#              |-Dip\  .                    \ h
#              :     \. | Rake               \
#              |      -------------------------
#              :             L e n g t h
#              Z (x3)
#              
#  n      slip        x1        x2        x3    length     width   strike      dip     rake
0176     0.000   19700.0  -16200.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0177     0.000   21200.0  -17600.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0178     0.000   22600.0  -19000.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0179     0.000   24000.0  -20400.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0180     0.000   25500.0  -21700.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0181     0.061   -1860.0    4630.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0182     0.203    -420.0    3240.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0183     0.325    1020.0    1850.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0184     0.396    2450.0     465.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0185     0.331    3890.0    -924.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0186     0.119    5330.0   -2320.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0187     0.081    6770.0   -3710.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0188     0.466    8210.0   -5090.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0189     0.614    9650.0   -6480.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0190     0.481   11100.0   -7870.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0191     0.433   12500.0   -9260.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0192     0.492   14000.0  -10600.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0193     0.361   15400.0  -12000.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0194     0.050   16800.0  -13400.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0195     0.000   18300.0  -14800.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0196     0.000   19700.0  -16200.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0197     0.000   21200.0  -17600.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0198     0.000   22600.0  -19000.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0199     0.000   24000.0  -20400.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0200     0.000   25500.0  -21700.0    5000.0    2000.0    1000.0   -44.00    90.00   180.00
0201     0.000   -1860.0    4630.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0202     0.109    -420.0    3240.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0203     0.209    1020.0    1850.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0204     0.300    2450.0     465.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0205     0.283    3890.0    -924.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0206     0.090    5330.0   -2320.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0207     0.063    6770.0   -3710.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0208     0.596    8210.0   -5090.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0209     0.718    9650.0   -6480.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0210     0.513   11100.0   -7870.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0211     0.435   12500.0   -9260.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0212     0.495   14000.0  -10600.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0213     0.397   15400.0  -12000.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0214     0.044   16800.0  -13400.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0215     0.000   18300.0  -14800.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0216     0.000   19700.0  -16200.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0217     0.000   21200.0  -17600.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0218     0.000   22600.0  -19000.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0219     0.000   24000.0  -20400.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0220     0.000   25500.0  -21700.0    4000.0    2000.0    1000.0   -44.00    90.00   180.00
0221     0.000   -1860.0    4630.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0222     0.034    -420.0    3240.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0223     0.092    1020.0    1850.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0224     0.179    2450.0     465.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0225     0.211    3890.0    -924.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0226     0.060    5330.0   -2320.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0227     0.000    6770.0   -3710.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0228     0.592    8210.0   -5090.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0229     0.639    9650.0   -6480.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0230     0.397   11100.0   -7870.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0231     0.325   12500.0   -9260.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0232     0.382   14000.0  -10600.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0233     0.387   15400.0  -12000.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0234     0.045   16800.0  -13400.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0235     0.000   18300.0  -14800.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0236     0.000   19700.0  -16200.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0237     0.000   21200.0  -17600.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0238     0.000   22600.0  -19000.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0239     0.000   24000.0  -20400.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
