> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
 -3249421.92   3527497.36
 -3247545.02   3522708.95
 -3246336.26   3518951.60
 -3244902.96   3515480.93
 -3244000.86   3512303.01
 -3243275.47   3508675.28
 -3242364.95   3505509.65
 -3240856.69   3501935.26
 -3239170.26   3498532.65
 -3237830.88   3495068.62
 -3236756.75   3491750.63
 -3236129.14   3489769.77
 -3235012.42   3487103.85
 -3233479.35   3483289.22
 -3231787.50   3479321.19
 -3230945.65   3475940.83
 -3230159.61   3472689.95
 -3229174.08   3469668.58
 -3227834.02   3466164.11
 -3226299.11   3462598.83
 -3225311.92   3460126.16
 -3224578.87   3457832.76
 -3222921.79   3454011.60
 -3221782.60   3451363.38
 -3220520.80   3448469.43
 -3219203.37   3445435.66
 -3218256.65   3442559.42
 -3217256.50   3438694.05
 -3217011.81   3434828.44
 -3217104.44   3431770.29
 -3217092.58   3429827.36
 -3216690.43   3428053.49
 -3215600.74   3425246.69
 -3214325.09   3422356.52
 -3212789.31   3419010.08
 -3211698.32   3416763.28
 -3210685.80   3414308.56
 -3209149.29   3410952.66
 -3207659.06   3406330.79
 -3206931.51   3402543.77
 -3206214.18   3400152.45
 -3205112.59   3397629.51
 -3203625.35   3394405.68
 -3202398.58   3391347.92
 -3201605.63   3387422.97
 -3200752.30   3383939.59
 -3200002.90   3381038.70
 -3198782.66   3377657.67
 -3197771.30   3374581.13
 -3196823.91   3371040.66
 -3195588.92   3367684.56
 -3193820.81   3363430.79
 -3192053.71   3359457.15
 -3190672.37   3355022.17
 -3189050.26   3350935.39
 -3187691.12   3347884.85
 -3186034.36   3344171.61
 -3183983.27   3339761.00
 -3182739.90   3336969.01
 -3181554.94   3334015.22
 -3180299.99   3330365.05
 -3178591.10   3326470.68
 -3176853.25   3323239.19
 -3175395.27   3320717.33
 -3172649.68   3315791.91
 -3171077.90   3313573.78
 -3169597.54   3310509.16
 -3168081.61   3307538.19
 -3165675.27   3304034.80
 -3162997.01   3301275.92
 -3160054.48   3298646.81
 -3156119.58   3296068.22
 -3152995.07   3293641.08
 -3149944.28   3291308.47
 -3147116.61   3289556.45
 -3143918.08   3287934.91
