time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-11-18T12:18:04.590Z,31.0852,128.5119,10,4.7,mb,,60,1.714,0.87,us,us10003z8b,2016-02-13T02:08:29.040Z,"173km W of Makurazaki, Japan",earthquake,6.1,1.9,0.096,35,reviewed,us,us
2015-11-18T04:38:50.880Z,31.3706,128.961,27.5,5.1,mb,,76,1.282,0.88,us,us10003z79,2016-03-25T13:58:39.000Z,"129km W of Makurazaki, Japan",earthquake,6.1,4.9,0.048,139,reviewed,us,us
2015-11-17T02:07:12.820Z,31.2208,128.7322,10,4.3,mb,,95,1.499,1.11,us,us10003zkx,2016-02-13T02:08:26.040Z,"151km W of Makurazaki, Japan",earthquake,6.2,1.9,0.154,12,reviewed,us,us
2015-11-16T07:31:14.500Z,31.1872,128.9206,10,4.8,mb,,83,1.349,1.04,us,us10003ylp,2016-02-13T02:08:24.040Z,"133km W of Makurazaki, Japan",earthquake,6.4,1.9,0.079,49,reviewed,us,us
2015-11-16T05:11:36.530Z,30.7149,128.7587,10,4.3,mb,,94,1.654,1.28,us,us10003zj0,2016-02-13T02:08:24.040Z,"160km WSW of Makurazaki, Japan",earthquake,7.2,1.9,0.16,11,reviewed,us,us
2015-11-15T06:07:28.310Z,31.139,128.7456,10,4.2,mb,,116,1.506,0.64,us,us10003zb8,2016-02-13T02:08:22.040Z,"150km W of Makurazaki, Japan",earthquake,7.4,1.9,0.146,14,reviewed,us,us
2015-11-15T05:13:57.810Z,31.9194,128.8519,10,4.8,mb,,64,1.424,0.7,us,us10003ygk,2016-02-13T02:08:22.040Z,"85km S of Fukue, Japan",earthquake,4.4,1.9,0.073,58,reviewed,us,us
2015-11-15T01:12:23.920Z,30.9746,128.8751,10,4.4,mb,,106,1.452,0.93,us,us10003yfh,2016-02-13T02:08:22.040Z,"141km WSW of Makurazaki, Japan",earthquake,7.1,1.9,0.115,24,reviewed,us,us
2015-11-14T22:35:00.890Z,30.8913,128.7122,10,4.3,mb,,106,1.613,0.69,us,us10003z9x,2016-02-13T02:08:22.040Z,"158km WSW of Makurazaki, Japan",earthquake,6.6,1.5,0.129,17,reviewed,us,us
2015-11-14T21:41:50.460Z,31.3033,128.812,10,4.5,mb,,92,1.417,0.7,us,us10003yem,2016-02-13T02:08:22.040Z,"143km W of Makurazaki, Japan",earthquake,6.1,1.9,0.081,45,reviewed,us,us
2015-11-14T20:34:29.340Z,31.3303,128.853,10,5.1,mww,,59,1.379,0.83,us,us10003ye7,2016-03-25T13:58:22.000Z,"139km W of Makurazaki, Japan",earthquake,6.6,1.7,,,reviewed,us,us
2015-11-14T19:20:21.390Z,31.4417,128.8428,10,5.7,mww,,22,1.377,0.76,us,us10003ydz,2016-03-25T13:58:21.000Z,"138km S of Fukue, Japan",earthquake,5.8,1.7,,,reviewed,us,us
2015-11-14T08:40:56.000Z,31.2782,128.9344,6.69,4.7,mb,,80,1.318,0.56,us,us10003ybg,2016-03-25T13:58:16.000Z,"131km W of Makurazaki, Japan",earthquake,3.6,5,0.106,27,reviewed,us,us
2015-11-14T05:26:28.020Z,31.2712,128.6902,10,4.2,mb,,117,1.525,0.5,us,us10003z8z,2016-02-13T02:08:20.040Z,"154km W of Makurazaki, Japan",earthquake,6.1,1.9,0.2,7,reviewed,us,us
2015-11-14T04:29:25.930Z,30.9216,128.6945,10,4.2,mb,,105,1.616,0.94,us,us10003z8w,2016-02-13T02:08:20.040Z,"159km WSW of Makurazaki, Japan",earthquake,7.9,1.9,0.158,11,reviewed,us,us
2015-11-14T03:51:54.160Z,31.4544,128.8805,10,4.6,mb,,72,1.344,0.94,us,us10003yag,2016-02-13T02:08:20.040Z,"134km WSW of Kushikino, Japan",earthquake,5.1,1.7,0.101,29,reviewed,us,us
2015-11-14T01:11:53.620Z,31.3889,128.9065,10,4.3,mb,,89,1.326,1.3,us,us10003y8q,2016-02-13T02:08:20.040Z,"134km WSW of Kushikino, Japan",earthquake,5.6,1.4,0.138,15,reviewed,us,us
2015-11-13T22:14:21.770Z,31.1281,128.7527,10,4.4,mb,,71,1.503,1.05,us,us10003yyz,2016-02-13T02:08:20.040Z,"149km W of Makurazaki, Japan",earthquake,6,1.9,0.117,21,reviewed,us,us
2015-11-13T21:36:28.450Z,31.2189,128.8638,10,4.4,mb,,63,1.389,0.85,us,us10003yyw,2016-02-13T02:08:20.040Z,"138km W of Makurazaki, Japan",earthquake,5.2,1.5,0.144,14,reviewed,us,us
2015-11-13T21:29:00.710Z,30.7365,128.7845,10,4.3,mb,,94,1.624,1.2,us,us10003yyx,2016-02-13T02:08:20.040Z,"157km WSW of Makurazaki, Japan",earthquake,6.1,1.9,0.201,7,reviewed,us,us
2015-11-13T21:17:26.580Z,31.0207,128.7986,10,4.9,mb,,61,1.497,0.92,us,us10003y7j,2016-02-13T02:08:20.040Z,"147km W of Makurazaki, Japan",earthquake,6.3,1.8,0.064,77,reviewed,us,us
2015-11-13T20:51:31.030Z,31.0009,128.8729,12,6.7,mww,,17,1.444,1.25,us,us10003y71,2016-03-25T13:58:13.000Z,"140km WSW of Makurazaki, Japan",earthquake,5.9,1.7,,,reviewed,us,us
2015-11-03T15:55:40.180Z,32.6969,131.9769,42.37,4.5,mb,,67,1.019,0.85,us,us200041lm,2016-01-30T02:11:05.040Z,"28km SSE of Saiki, Japan",earthquake,6,8.6,0.113,23,reviewed,us,us
2015-10-31T01:37:52.180Z,30.9845,132.4226,26.93,4.3,mb,,123,1.766,1.25,us,us200041lt,2016-01-30T02:10:58.040Z,"121km SE of Nichinan, Japan",earthquake,6.4,4.1,0.168,10,reviewed,us,us
2015-10-30T22:25:18.400Z,30.0198,131.7035,37.48,4.4,mb,,104,1.834,1.09,us,us200041kk,2016-01-30T02:10:58.040Z,"104km SE of Nishinoomote, Japan",earthquake,7.6,8.8,0.134,16,reviewed,us,us
2015-10-19T22:05:11.930Z,30.6279,131.4408,10,4.3,mb,,136,1.221,1.1,us,us10003ptk,2016-01-15T20:51:18.040Z,"43km ESE of Nishinoomote, Japan",earthquake,7.9,1.9,0.129,17,reviewed,us,us
2015-10-19T21:49:34.960Z,30.714,131.3828,10,4.4,mb,,132,1.124,0.79,us,us10003r0b,2016-01-15T20:51:18.040Z,"36km E of Nishinoomote, Japan",earthquake,7.4,1.9,0.139,15,reviewed,us,us
2015-10-19T21:47:01.770Z,30.6336,131.2539,10,4.5,mb,,132,1.111,0.59,us,us10003r09,2016-01-15T20:51:18.040Z,"26km ESE of Nishinoomote, Japan",earthquake,6.2,1.9,0.15,13,reviewed,us,us
2015-10-19T21:44:44.450Z,30.7005,131.4604,15.64,4.6,mwr,,123,1.182,0.7,us,us10003pst,2016-01-15T20:51:17.040Z,"44km E of Nishinoomote, Japan",earthquake,6.6,4.4,0.093,11,reviewed,us,us
2015-10-03T09:09:39.390Z,30.3784,131.4548,31.94,4.1,mb,,109,1.418,0.7,us,us10003nc1,2016-01-04T22:28:54.040Z,"58km SE of Nishinoomote, Japan",earthquake,7.6,7.4,0.233,7,reviewed,us,us
2015-10-02T19:09:58.810Z,32.0363,130.3533,4.42,4.2,mb,,125,0.532,1.07,us,us10003jvv,2016-01-04T22:28:48.040Z,"5km SSW of Izumi, Japan",earthquake,5.4,5.3,0.187,9,reviewed,us,us
2015-09-29T04:24:26.360Z,30.1402,131.1925,41.39,4.5,mb,,128,1.505,0.87,us,us10003mzh,2015-12-28T23:08:48.040Z,"68km SSE of Nishinoomote, Japan",earthquake,7.2,8.2,0.163,11,reviewed,us,us
2015-09-07T00:07:17.510Z,30.2251,130.9906,43.9,4.4,mb,,134,1.361,0.82,us,us20003l95,2015-12-05T01:40:33.040Z,"56km S of Nishinoomote, Japan",earthquake,7.7,6,0.134,16,reviewed,us,us
2015-09-06T15:20:36.390Z,30.6547,131.4094,29.29,4.5,mb,,85,1.183,0.66,us,us20003knf,2015-12-05T01:40:32.040Z,"40km ESE of Nishinoomote, Japan",earthquake,7,6.2,0.144,14,reviewed,us,us
2015-09-02T07:07:46.940Z,33.1732,134.5449,16.54,4.7,mb,,91,0.789,0.78,us,us20003fmh,2015-12-01T00:36:10.040Z,"38km ESE of Muroto, Japan",earthquake,5.7,4.5,0.051,118,reviewed,us,us
