time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-15T19:05:49.150Z,32.7884,130.7323,8.78,4.5,mb,,100,0.357,0.73,us,us20005kze,2016-06-27T23:01:42.040Z,"0km W of Kumamoto-shi, Japan",earthquake,4.9,4.7,0.093,34,reviewed,us,us
2016-04-15T19:01:58.950Z,33.0808,131.1656,10,4.6,mb,,107,0.246,1.28,us,us20005l03,2016-06-27T23:01:42.040Z,"20km S of Tsukawaki, Japan",earthquake,3.9,1.8,0.194,9,reviewed,us,us
2016-04-15T18:55:53.500Z,33.0051,131.1569,13.22,5.5,mwr,,19,0.263,0.87,us,us20005inz,2016-06-27T23:01:41.040Z,"23km W of Takedamachi, Japan",earthquake,4.7,3.2,0.098,10,reviewed,us,us
2016-04-15T18:26:52.920Z,32.8609,130.9151,10,4.4,mb,,97,0.265,0.99,us,us20005inb,2016-06-27T23:01:41.040Z,"4km E of Ozu, Japan",earthquake,4.2,1.9,0.123,20,reviewed,us,us
2016-04-15T18:20:49.930Z,33.0919,131.0131,19.81,4.5,mb,,102,0.119,0.74,us,us20005inf,2016-06-27T23:01:41.040Z,"21km ENE of Kikuchi, Japan",earthquake,5.4,4,0.127,18,reviewed,us,us
2016-04-15T18:16:42.610Z,33.0883,130.8645,18.99,4.5,mb,,45,0.038,1.01,us,us20005in9,2016-06-27T23:01:41.040Z,"12km NNE of Kikuchi, Japan",earthquake,3.8,3.5,0.079,47,reviewed,us,us
2016-04-15T18:10:20.890Z,32.9867,130.9788,10,4.2,mb,,115,0.162,0.89,us,us20005kzc,2016-06-27T23:01:41.040Z,"15km E of Kikuchi, Japan",earthquake,4.6,1.9,0.264,5,reviewed,us,us
2016-04-15T18:09:30.410Z,32.9206,131.0717,10,4.3,mb,,106,0.261,1.03,us,us20005kzb,2016-06-27T23:01:40.040Z,"20km ENE of Ozu, Japan",earthquake,3.2,1.9,0.202,7,reviewed,us,us
2016-04-15T18:03:10.940Z,32.9196,131.0212,4.35,5.4,mwr,,32,0.238,0.61,us,us20005imz,2016-06-27T23:01:40.040Z,"15km ENE of Ozu, Japan",earthquake,5,3.5,0.089,12,reviewed,us,us
2016-04-15T17:49:18.090Z,33.209,131.3317,10,4.5,mb,,101,0.39,0.71,us,us20005imv,2016-06-27T23:01:40.040Z,"16km WSW of Beppu, Japan",earthquake,4.9,1.4,0.113,26,reviewed,us,us
2016-04-15T17:13:03.450Z,33.0573,131.183,6.6,4.2,mb,,104,0.265,0.81,us,us20005kz8,2016-06-27T23:01:40.040Z,"22km WNW of Takedamachi, Japan",earthquake,4.7,5.1,0.176,10,reviewed,us,us
2016-04-15T17:04:11.230Z,32.7415,130.7325,9.24,4.6,mb,,85,0.401,0.92,us,us20005il9,2016-06-27T23:01:39.040Z,"5km S of Kumamoto-shi, Japan",earthquake,4.9,4.7,0.069,63,reviewed,us,us
2016-04-15T16:56:13.930Z,32.7568,130.7758,10,4.1,mb,,85,0.376,0.96,us,us20005kz7,2016-06-27T23:01:39.040Z,"4km SE of Kumamoto-shi, Japan",earthquake,3.8,1.9,0.368,2,reviewed,us,us
2016-04-15T16:45:56.680Z,32.9241,130.8091,10,5.7,mww,,61,0.208,1.23,us,us20005ija,2016-06-27T23:01:39.040Z,"6km S of Kikuchi, Japan",earthquake,5.4,0.9,,,reviewed,us,us
2016-04-15T16:44:06.860Z,32.7091,130.7194,10,5.3,mb,,51,0.435,0.88,us,us20005ij8,2016-06-27T23:01:39.040Z,"5km ENE of Uto, Japan",earthquake,4.8,1.8,0.063,85,reviewed,us,us
2016-04-15T16:43:07.560Z,32.6976,130.8055,10,5.2,mb,,109,0.43,1.31,us,us20005kz9,2016-06-27T23:01:39.040Z,"11km SSE of Kumamoto-shi, Japan",earthquake,6.5,1.9,0.191,9,reviewed,us,us
2016-04-15T16:38:21.450Z,32.6729,130.7928,10,4.8,mb,,85,0.456,0.9,us,us20005kzq,2016-06-27T23:01:39.040Z,"11km E of Uto, Japan",earthquake,6.8,1.9,0.081,47,reviewed,us,us
2016-04-15T16:33:20.400Z,32.7665,130.8229,10,5.3,mb,,68,0.36,0.87,us,us20005kzp,2016-06-27T23:01:38.040Z,"8km ESE of Kumamoto-shi, Japan",earthquake,7.7,1.9,0.081,51,reviewed,us,us
2016-04-15T16:30:46.470Z,32.8598,131.8011,10,5.1,mb,,124,0.82,0.92,us,us20005l06,2016-06-27T23:01:38.040Z,"13km SW of Saiki, Japan",earthquake,6.2,1.9,0.216,7,reviewed,us,us
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,mww,,32,0.349,0.85,us,us20005iis,2016-06-27T23:01:38.040Z,"1km E of Kumamoto-shi, Japan",earthquake,4.9,1.7,,,reviewed,us,us
